"ID","ObservationTime","ObservationDate","ScreenTemperature","SiteName"
"3975443","0","2015-01-01T00:00:00","9.00","CASTLEDERG (3904)"
"3975582","1","2015-01-01T00:00:00","9.20","CASTLEDERG (3904)"
"3975722","2","2015-01-01T00:00:00","9.20","CASTLEDERG (3904)"
"3975862","3","2015-01-01T00:00:00","9.40","CASTLEDERG (3904)"
"3976001","4","2015-01-01T00:00:00","9.60","CASTLEDERG (3904)"
"3976139","5","2015-01-01T00:00:00","9.10","CASTLEDERG (3904)"
"3976278","6","2015-01-01T00:00:00","8.90","CASTLEDERG (3904)"
"3976418","7","2015-01-01T00:00:00","8.40","CASTLEDERG (3904)"
"3976556","8","2015-01-01T00:00:00","9.10","CASTLEDERG (3904)"
"3976695","9","2015-01-01T00:00:00","9.90","CASTLEDERG (3904)"
"3976835","10","2015-01-01T00:00:00","10.10","CASTLEDERG (3904)"
"3976975","11","2015-01-01T00:00:00","11.40","CASTLEDERG (3904)"
"3977115","12","2015-01-01T00:00:00","12.30","CASTLEDERG (3904)"
"3977254","13","2015-01-01T00:00:00","12.70","CASTLEDERG (3904)"
"3977393","14","2015-01-01T00:00:00","12.40","CASTLEDERG (3904)"
"3977531","15","2015-01-01T00:00:00","12.50","CASTLEDERG (3904)"
"3977669","16","2015-01-01T00:00:00","12.60","CASTLEDERG (3904)"
"3977809","17","2015-01-01T00:00:00","12.70","CASTLEDERG (3904)"
"3977948","18","2015-01-01T00:00:00","10.80","CASTLEDERG (3904)"
"3978086","19","2015-01-01T00:00:00","10.20","CASTLEDERG (3904)"
"3978224","20","2015-01-01T00:00:00","9.10","CASTLEDERG (3904)"
"3978363","21","2015-01-01T00:00:00","8.10","CASTLEDERG (3904)"
"3978501","22","2015-01-01T00:00:00","6.30","CASTLEDERG (3904)"
"3978641","23","2015-01-01T00:00:00","6.10","CASTLEDERG (3904)"
"3978780","0","2015-01-02T00:00:00","5.50","CASTLEDERG (3904)"
"3978920","1","2015-01-02T00:00:00","4.70","CASTLEDERG (3904)"
"3979059","2","2015-01-02T00:00:00","5.50","CASTLEDERG (3904)"
"3979199","3","2015-01-02T00:00:00","3.90","CASTLEDERG (3904)"
"3979338","4","2015-01-02T00:00:00","4.10","CASTLEDERG (3904)"
"3979478","5","2015-01-02T00:00:00","3.90","CASTLEDERG (3904)"
"3979618","6","2015-01-02T00:00:00","3.90","CASTLEDERG (3904)"
"3979755","7","2015-01-02T00:00:00","3.30","CASTLEDERG (3904)"
"3979895","8","2015-01-02T00:00:00","2.80","CASTLEDERG (3904)"
"3980035","9","2015-01-02T00:00:00","3.40","CASTLEDERG (3904)"
"3980173","10","2015-01-02T00:00:00","3.70","CASTLEDERG (3904)"
"3980312","11","2015-01-02T00:00:00","4.40","CASTLEDERG (3904)"
"3980451","12","2015-01-02T00:00:00","5.60","CASTLEDERG (3904)"
"3980590","13","2015-01-02T00:00:00","6.60","CASTLEDERG (3904)"
"3980726","14","2015-01-02T00:00:00","6.50","CASTLEDERG (3904)"
"3980865","15","2015-01-02T00:00:00","4.30","CASTLEDERG (3904)"
"3981004","16","2015-01-02T00:00:00","4.70","CASTLEDERG (3904)"
"3981144","17","2015-01-02T00:00:00","5.50","CASTLEDERG (3904)"
"3981283","18","2015-01-02T00:00:00","5.90","CASTLEDERG (3904)"
"3981423","19","2015-01-02T00:00:00","5.70","CASTLEDERG (3904)"
"3981562","20","2015-01-02T00:00:00","5.50","CASTLEDERG (3904)"
"3981702","21","2015-01-02T00:00:00","5.70","CASTLEDERG (3904)"
"3981842","22","2015-01-02T00:00:00","5.90","CASTLEDERG (3904)"
"3981981","23","2015-01-02T00:00:00","6.00","CASTLEDERG (3904)"
"3982118","0","2015-01-03T00:00:00","6.40","CASTLEDERG (3904)"
"3982258","1","2015-01-03T00:00:00","5.70","CASTLEDERG (3904)"
"3982396","2","2015-01-03T00:00:00","5.90","CASTLEDERG (3904)"
"3982534","3","2015-01-03T00:00:00","5.60","CASTLEDERG (3904)"
"3982673","4","2015-01-03T00:00:00","5.00","CASTLEDERG (3904)"
"3982812","5","2015-01-03T00:00:00","4.70","CASTLEDERG (3904)"
"3982952","6","2015-01-03T00:00:00","4.50","CASTLEDERG (3904)"
"3983091","7","2015-01-03T00:00:00","4.30","CASTLEDERG (3904)"
"3983230","8","2015-01-03T00:00:00","4.30","CASTLEDERG (3904)"
"3983369","9","2015-01-03T00:00:00","3.70","CASTLEDERG (3904)"
"3983509","10","2015-01-03T00:00:00","3.80","CASTLEDERG (3904)"
"3983647","11","2015-01-03T00:00:00","3.80","CASTLEDERG (3904)"
"3983784","12","2015-01-03T00:00:00","4.20","CASTLEDERG (3904)"
"3983922","13","2015-01-03T00:00:00","6.60","CASTLEDERG (3904)"
"3984061","14","2015-01-03T00:00:00","6.50","CASTLEDERG (3904)"
"3984198","15","2015-01-03T00:00:00","6.50","CASTLEDERG (3904)"
"3984333","16","2015-01-03T00:00:00","4.90","CASTLEDERG (3904)"
"3984472","17","2015-01-03T00:00:00","3.70","CASTLEDERG (3904)"
"3984610","18","2015-01-03T00:00:00","2.40","CASTLEDERG (3904)"
"3984748","19","2015-01-03T00:00:00","2.00","CASTLEDERG (3904)"
"3984886","20","2015-01-03T00:00:00","0.60","CASTLEDERG (3904)"
"3985025","21","2015-01-03T00:00:00","-0.70","CASTLEDERG (3904)"
"3985163","22","2015-01-03T00:00:00","-1.50","CASTLEDERG (3904)"
"3985302","23","2015-01-03T00:00:00","-2.00","CASTLEDERG (3904)"
"3985440","0","2015-01-04T00:00:00","-2.20","CASTLEDERG (3904)"
"3985579","1","2015-01-04T00:00:00","-3.20","CASTLEDERG (3904)"
"3985719","2","2015-01-04T00:00:00","-4.00","CASTLEDERG (3904)"
"3985858","3","2015-01-04T00:00:00","-2.80","CASTLEDERG (3904)"
"3985997","4","2015-01-04T00:00:00","-2.70","CASTLEDERG (3904)"
"3986136","5","2015-01-04T00:00:00","-0.80","CASTLEDERG (3904)"
"3986275","6","2015-01-04T00:00:00","-0.80","CASTLEDERG (3904)"
"3986413","7","2015-01-04T00:00:00","1.20","CASTLEDERG (3904)"
"3986553","8","2015-01-04T00:00:00","2.40","CASTLEDERG (3904)"
"3986692","9","2015-01-04T00:00:00","3.10","CASTLEDERG (3904)"
"3986831","10","2015-01-04T00:00:00","3.60","CASTLEDERG (3904)"
"3986970","11","2015-01-04T00:00:00","4.50","CASTLEDERG (3904)"
"3987109","12","2015-01-04T00:00:00","5.10","CASTLEDERG (3904)"
"3987248","13","2015-01-04T00:00:00","5.80","CASTLEDERG (3904)"
"3987386","14","2015-01-04T00:00:00","6.50","CASTLEDERG (3904)"
"3987525","15","2015-01-04T00:00:00","6.80","CASTLEDERG (3904)"
"3987665","16","2015-01-04T00:00:00","6.70","CASTLEDERG (3904)"
"3987804","17","2015-01-04T00:00:00","6.20","CASTLEDERG (3904)"
"3987943","18","2015-01-04T00:00:00","6.30","CASTLEDERG (3904)"
"3988083","19","2015-01-04T00:00:00","6.50","CASTLEDERG (3904)"
"3988223","20","2015-01-04T00:00:00","6.10","CASTLEDERG (3904)"
"3988363","21","2015-01-04T00:00:00","6.10","CASTLEDERG (3904)"
"3988502","22","2015-01-04T00:00:00","6.70","CASTLEDERG (3904)"
"3988641","23","2015-01-04T00:00:00","6.70","CASTLEDERG (3904)"
"3988781","0","2015-01-05T00:00:00","6.60","CASTLEDERG (3904)"
"3988919","1","2015-01-05T00:00:00","6.80","CASTLEDERG (3904)"
"3989057","2","2015-01-05T00:00:00","7.30","CASTLEDERG (3904)"
"3989197","3","2015-01-05T00:00:00","7.40","CASTLEDERG (3904)"
"3989337","4","2015-01-05T00:00:00","7.30","CASTLEDERG (3904)"
"3989477","5","2015-01-05T00:00:00","7.80","CASTLEDERG (3904)"
"3989616","6","2015-01-05T00:00:00","7.90","CASTLEDERG (3904)"
"3989755","7","2015-01-05T00:00:00","8.20","CASTLEDERG (3904)"
"3989894","8","2015-01-05T00:00:00","8.90","CASTLEDERG (3904)"
"3990033","9","2015-01-05T00:00:00","9.20","CASTLEDERG (3904)"
"3990171","10","2015-01-05T00:00:00","9.10","CASTLEDERG (3904)"
"3990311","11","2015-01-05T00:00:00","9.70","CASTLEDERG (3904)"
"3990448","12","2015-01-05T00:00:00","10.30","CASTLEDERG (3904)"
"3990588","13","2015-01-05T00:00:00","10.10","CASTLEDERG (3904)"
"3990728","14","2015-01-05T00:00:00","10.50","CASTLEDERG (3904)"
"3990868","15","2015-01-05T00:00:00","10.40","CASTLEDERG (3904)"
"3991006","16","2015-01-05T00:00:00","10.30","CASTLEDERG (3904)"
"3991146","17","2015-01-05T00:00:00","9.70","CASTLEDERG (3904)"
"3991285","18","2015-01-05T00:00:00","9.50","CASTLEDERG (3904)"
"3991424","19","2015-01-05T00:00:00","9.70","CASTLEDERG (3904)"
"3991564","20","2015-01-05T00:00:00","9.60","CASTLEDERG (3904)"
"3991704","21","2015-01-05T00:00:00","9.20","CASTLEDERG (3904)"
"3991844","22","2015-01-05T00:00:00","9.20","CASTLEDERG (3904)"
"3991984","23","2015-01-05T00:00:00","9.00","CASTLEDERG (3904)"
"3992122","0","2015-01-06T00:00:00","8.60","CASTLEDERG (3904)"
"3992262","1","2015-01-06T00:00:00","8.90","CASTLEDERG (3904)"
"3992402","2","2015-01-06T00:00:00","5.00","CASTLEDERG (3904)"
"3992542","3","2015-01-06T00:00:00","3.80","CASTLEDERG (3904)"
"3992681","4","2015-01-06T00:00:00","3.50","CASTLEDERG (3904)"
"3992820","5","2015-01-06T00:00:00","3.30","CASTLEDERG (3904)"
"3992960","6","2015-01-06T00:00:00","3.50","CASTLEDERG (3904)"
"3993099","7","2015-01-06T00:00:00","2.70","CASTLEDERG (3904)"
"3993239","8","2015-01-06T00:00:00","1.80","CASTLEDERG (3904)"
"3993378","9","2015-01-06T00:00:00","0.80","CASTLEDERG (3904)"
"3993517","10","2015-01-06T00:00:00","2.80","CASTLEDERG (3904)"
"3993655","11","2015-01-06T00:00:00","3.60","CASTLEDERG (3904)"
"3993792","12","2015-01-06T00:00:00","3.80","CASTLEDERG (3904)"
"3993930","13","2015-01-06T00:00:00","4.20","CASTLEDERG (3904)"
"3994068","14","2015-01-06T00:00:00","6.30","CASTLEDERG (3904)"
"3994207","15","2015-01-06T00:00:00","6.10","CASTLEDERG (3904)"
"3994345","16","2015-01-06T00:00:00","4.60","CASTLEDERG (3904)"
"3994485","17","2015-01-06T00:00:00","3.90","CASTLEDERG (3904)"
"3994626","18","2015-01-06T00:00:00","4.20","CASTLEDERG (3904)"
"3994767","19","2015-01-06T00:00:00","3.50","CASTLEDERG (3904)"
"3994908","20","2015-01-06T00:00:00","3.90","CASTLEDERG (3904)"
"3995048","21","2015-01-06T00:00:00","3.50","CASTLEDERG (3904)"
"3995189","22","2015-01-06T00:00:00","5.00","CASTLEDERG (3904)"
"3995330","23","2015-01-06T00:00:00","5.60","CASTLEDERG (3904)"
"3995471","0","2015-01-07T00:00:00","6.50","CASTLEDERG (3904)"
"3995611","1","2015-01-07T00:00:00","6.70","CASTLEDERG (3904)"
"3995751","2","2015-01-07T00:00:00","6.80","CASTLEDERG (3904)"
"3995891","3","2015-01-07T00:00:00","6.70","CASTLEDERG (3904)"
"3996031","4","2015-01-07T00:00:00","7.10","CASTLEDERG (3904)"
"3996172","5","2015-01-07T00:00:00","7.60","CASTLEDERG (3904)"
"3996311","6","2015-01-07T00:00:00","8.30","CASTLEDERG (3904)"
"3996452","7","2015-01-07T00:00:00","8.80","CASTLEDERG (3904)"
"3996591","8","2015-01-07T00:00:00","9.20","CASTLEDERG (3904)"
"3996732","9","2015-01-07T00:00:00","9.60","CASTLEDERG (3904)"
"3996871","10","2015-01-07T00:00:00","9.90","CASTLEDERG (3904)"
"3997012","11","2015-01-07T00:00:00","10.00","CASTLEDERG (3904)"
"3997152","12","2015-01-07T00:00:00","10.30","CASTLEDERG (3904)"
"3997291","13","2015-01-07T00:00:00","11.30","CASTLEDERG (3904)"
"3997430","14","2015-01-07T00:00:00","11.60","CASTLEDERG (3904)"
"3997567","15","2015-01-07T00:00:00","11.80","CASTLEDERG (3904)"
"3997708","16","2015-01-07T00:00:00","9.40","CASTLEDERG (3904)"
"3997849","17","2015-01-07T00:00:00","9.30","CASTLEDERG (3904)"
"3997989","18","2015-01-07T00:00:00","8.30","CASTLEDERG (3904)"
"3998129","19","2015-01-07T00:00:00","8.20","CASTLEDERG (3904)"
"3998268","20","2015-01-07T00:00:00","6.70","CASTLEDERG (3904)"
"3998407","21","2015-01-07T00:00:00","6.50","CASTLEDERG (3904)"
"3998547","22","2015-01-07T00:00:00","6.10","CASTLEDERG (3904)"
"3998687","23","2015-01-07T00:00:00","6.00","CASTLEDERG (3904)"
"3998827","0","2015-01-08T00:00:00","6.20","CASTLEDERG (3904)"
